Gender,Under 30,Married,Dependents,Referred a Friend,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Churn Label,Age,Number of Dependents,Zip Code,Population,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges
Female,No,No,No,No,No,No,Yes,DSL,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Yes,77.0,0.0,92509.0,63999.0,0.0,5.0,0.0,26.0,28.0,0.0,0.0,0.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,92544.0,39264.0,0.0,20.0,49.0,12.0,94.0,0.0,80.0,975.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,72.0,0.0,92557.0,46214.0,4.0,5.0,46.0,22.0,74.0,0.0,0.0,229.0
Female,No,Yes,No,Yes,Yes,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,80.0,0.0,92571.0,26357.0,2.0,27.0,7.0,25.0,75.0,0.0,0.0,190.0
Female,No,No,No,No,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,92807.0,36301.0,0.0,4.0,48.0,24.0,89.0,0.0,0.0,193.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,68.0,0.0,92823.0,1408.0,0.0,1.0,46.0,21.0,86.0,0.0,0.0,46.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,Yes,78.0,0.0,92887.0,20893.0,3.0,65.0,18.0,28.0,105.0,0.0,0.0,1195.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,Yes,75.0,0.0,93067.0,576.0,3.0,49.0,23.0,14.0,90.0,0.0,0.0,1123.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,93101.0,31727.0,1.0,43.0,15.0,5.0,111.0,0.0,0.0,624.0
Male,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Yes,80.0,0.0,93201.0,1054.0,0.0,56.0,49.0,12.0,105.0,0.0,0.0,2733.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,93208.0,191.0,7.0,20.0,5.0,10.0,95.0,0.0,0.0,106.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Yes,69.0,0.0,93215.0,37280.0,0.0,2.0,47.0,19.0,90.0,0.0,0.0,95.0
Female,No,No,No,No,Yes,No,No,Cable,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Yes,74.0,0.0,93224.0,626.0,0.0,8.0,28.0,0.0,20.0,0.0,0.0,224.0
Male,No,No,No,No,No,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,0.0,92592.0,46171.0,0.0,52.0,0.0,18.0,49.0,0.0,30.0,0.0
Male,No,No,No,No,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,69.0,0.0,92129.0,47224.0,0.0,2.0,44.0,27.0,49.0,0.0,0.0,88.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,72.0,0.0,92129.0,47224.0,1.0,33.0,28.0,8.0,94.0,0.0,0.0,917.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Yes,69.0,0.0,92129.0,47224.0,0.0,30.0,46.0,19.0,92.0,0.0,0.0,1376.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0.0,92129.0,47224.0,0.0,20.0,44.0,13.0,99.0,0.0,120.0,889.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Yes,65.0,0.0,93606.0,807.0,0.0,46.0,2.0,20.0,110.0,0.0,0.0,109.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,93662.0,26213.0,1.0,7.0,22.0,11.0,96.0,0.0,0.0,153.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,65.0,0.0,93675.0,3146.0,0.0,4.0,37.0,18.0,79.0,0.0,0.0,148.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,Yes,66.0,0.0,93706.0,35790.0,0.0,55.0,37.0,7.0,100.0,0.0,100.0,2056.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,0.0,93928.0,254.0,1.0,20.0,5.0,24.0,74.0,0.0,0.0,107.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,65.0,0.0,94102.0,28998.0,0.0,9.0,49.0,15.0,100.0,0.0,0.0,438.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,69.0,0.0,94108.0,13723.0,0.0,10.0,5.0,24.0,73.0,0.0,30.0,55.0
Male,No,Yes,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,94114.0,30587.0,0.0,1.0,37.0,6.0,74.0,0.0,0.0,37.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,94130.0,1458.0,0.0,3.0,42.0,11.0,79.0,0.0,0.0,126.0
Female,No,No,No,No,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,68.0,0.0,94304.0,1723.0,0.0,4.0,7.0,17.0,85.0,0.0,0.0,27.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,0.0,94512.0,138.0,0.0,35.0,21.0,19.0,99.0,0.0,120.0,729.0
Male,No,No,No,No,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,Yes,80.0,0.0,94514.0,10153.0,0.0,2.0,27.0,11.0,45.0,0.0,0.0,53.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Yes,66.0,0.0,94539.0,46917.0,0.0,8.0,12.0,27.0,100.0,0.0,0.0,93.0
Male,No,Yes,No,Yes,No,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0.0,94550.0,75929.0,2.0,44.0,0.0,28.0,30.0,0.0,0.0,0.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Yes,77.0,0.0,94558.0,63947.0,1.0,62.0,7.0,16.0,104.0,0.0,0.0,441.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Cable,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,0.0,94566.0,36669.0,1.0,33.0,33.0,15.0,81.0,0.0,0.0,1095.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,65.0,0.0,94583.0,44078.0,0.0,4.0,50.0,23.0,94.0,0.0,0.0,198.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,94588.0,28568.0,1.0,27.0,11.0,23.0,76.0,0.0,0.0,286.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,94704.0,21205.0,0.0,8.0,40.0,29.0,101.0,0.0,0.0,324.0
Female,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,Yes,68.0,0.0,94707.0,11889.0,1.0,3.0,26.0,2.0,88.0,0.0,0.0,77.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,0.0,94710.0,8157.0,0.0,8.0,43.0,9.0,92.0,0.0,0.0,343.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,Yes,74.0,0.0,94904.0,12010.0,0.0,14.0,11.0,24.0,90.0,0.0,0.0,158.0
Male,No,No,No,No,No,No,Yes,DSL,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,94933.0,1025.0,0.0,12.0,0.0,10.0,44.0,0.0,0.0,0.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0.0,95019.0,4753.0,0.0,13.0,40.0,21.0,74.0,0.0,0.0,525.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,Yes,68.0,0.0,95020.0,49968.0,0.0,11.0,4.0,27.0,90.0,0.0,0.0,44.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Cable,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,Yes,74.0,0.0,95030.0,13290.0,1.0,17.0,28.0,16.0,100.0,0.0,0.0,479.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,65.0,0.0,95128.0,32804.0,1.0,39.0,33.0,26.0,106.0,0.0,0.0,1297.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0.0,95135.0,15798.0,5.0,11.0,17.0,27.0,104.0,0.0,0.0,190.0
Female,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,95232.0,21.0,1.0,3.0,3.0,9.0,80.0,0.0,0.0,10.0
Male,No,No,No,No,Yes,No,Yes,DSL,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,80.0,0.0,95310.0,2144.0,0.0,21.0,35.0,14.0,60.0,0.0,0.0,727.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,0.0,92027.0,48690.0,0.0,16.0,39.0,16.0,96.0,0.0,0.0,620.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,Yes,73.0,0.0,90712.0,30173.0,0.0,46.0,6.0,30.0,95.0,0.0,0.0,282.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,70.0,0.0,95439.0,476.0,1.0,68.0,24.0,24.0,90.0,0.0,0.0,1641.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,95464.0,2223.0,1.0,7.0,14.0,27.0,90.0,0.0,0.0,95.0
Male,No,Yes,No,Yes,Yes,Yes,Yes,Cable,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,95511.0,261.0,1.0,15.0,45.0,22.0,86.0,0.0,0.0,679.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,0.0,95524.0,1689.0,0.0,16.0,19.0,22.0,87.0,0.0,0.0,307.0
Female,No,No,No,No,Yes,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,95551.0,1447.0,0.0,1.0,30.0,18.0,69.0,0.0,0.0,30.0
Female,No,No,No,No,No,No,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,95562.0,3284.0,0.0,1.0,0.0,5.0,25.0,0.0,0.0,0.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,73.0,0.0,95618.0,648.0,0.0,13.0,19.0,24.0,95.0,0.0,0.0,247.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,69.0,0.0,95630.0,51855.0,0.0,1.0,20.0,24.0,79.0,0.0,0.0,20.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,75.0,0.0,95653.0,844.0,1.0,34.0,3.0,4.0,94.0,0.0,0.0,98.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Yes,65.0,0.0,95668.0,901.0,0.0,4.0,13.0,10.0,100.0,0.0,0.0,51.0
Female,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,95681.0,1219.0,0.0,2.0,19.0,18.0,94.0,0.0,0.0,39.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,Yes,67.0,0.0,95692.0,3600.0,0.0,9.0,31.0,18.0,84.0,0.0,0.0,277.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Yes,78.0,0.0,95742.0,299.0,0.0,5.0,42.0,9.0,76.0,0.0,0.0,212.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Yes,65.0,0.0,95923.0,86.0,0.0,22.0,40.0,8.0,97.0,0.0,100.0,884.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,95935.0,614.0,0.0,19.0,40.0,9.0,88.0,0.0,0.0,759.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Yes,70.0,0.0,95942.0,1351.0,0.0,15.0,46.0,19.0,76.0,0.0,0.0,696.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,69.0,0.0,95949.0,17922.0,0.0,1.0,11.0,20.0,75.0,0.0,0.0,11.0
Female,No,No,No,No,No,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,Yes,76.0,0.0,95959.0,17269.0,0.0,1.0,0.0,26.0,26.0,0.0,20.0,0.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,71.0,0.0,92027.0,48690.0,0.0,10.0,41.0,14.0,95.0,0.0,0.0,414.0
Female,No,No,No,No,Yes,No,Yes,DSL,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,Yes,76.0,0.0,92028.0,42239.0,0.0,3.0,30.0,6.0,45.0,0.0,10.0,90.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,96052.0,1845.0,1.0,12.0,7.0,19.0,80.0,0.0,0.0,84.0
Male,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,74.0,0.0,96073.0,4931.0,0.0,2.0,7.0,11.0,75.0,0.0,0.0,13.0
Male,No,No,No,No,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,96084.0,459.0,0.0,1.0,50.0,20.0,89.0,0.0,10.0,50.0
Male,No,Yes,No,Yes,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,76.0,0.0,92130.0,28201.0,1.0,13.0,1.0,5.0,89.0,0.0,0.0,19.0
Female,No,No,No,No,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,77.0,0.0,92130.0,28201.0,0.0,23.0,31.0,23.0,95.0,0.0,0.0,717.0
Female,No,Yes,No,Yes,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,80.0,0.0,92130.0,28201.0,1.0,17.0,37.0,6.0,85.0,0.0,0.0,626.0
Male,No,No,No,No,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Yes,68.0,0.0,92130.0,28201.0,0.0,17.0,41.0,2.0,45.0,0.0,0.0,696.0
